x,y,z
-6354.0273,-1218.6742,-8653.8075
-5824.1638,-1975.3978,-8733.7977
-5617.1426,-2271.0546,-8815.368
-5468.378,-2483.5126,-8876.0464
-5324.1494,-2689.4923,-8882.7142
-5215.1049,-2845.224,-8888.061
-5127.1597,-2970.8228,-8890.8175
-5053.1961,-3076.4538,-8894.9535
-4987.2669,-3170.6103,-8898.4609
-4926.644,-3257.1889,-8900.1469
-4869.4236,-3338.908,-8903.8888
-4812.6937,-3419.9268,-8904.9666
-4755.2602,-3501.9502,-8905.3675
-4695.4719,-3587.3368,-8908.4717
-4630.1969,-3680.5592,-8909.9223
-4557.5385,-3784.3261,-8911.1389
-4472.031,-3906.4435,-8912.8827
-3840.9031,-4807.7875,-9742.1354
-3474.5117,-5331.0487,-9840.3949
-2866.0259,-6200.0564,-10007.758
-2129.7537,-7251.5621,-9992.4416
-836.5418,-9098.4601,-9916.3028
-465.524,-9628.3285,-9084.844
-271.0268,-9906.0993,-8116.1201
178.3492,-10547.8747,-7013.9877
-427.4881,-9682.6494,-6097.2226
-956.0672,-8927.7602,-5377.1113
-1530.3327,-8107.624,-4792.3768
-2159.373,-7209.2613,-4564.7446
-2789.3319,-6309.5868,-4607.8703
-3108.0522,-5854.4072,-4233.6905
-3451.0031,-5364.6224,-3969.3429
-3733.0613,-4961.8017,-3582.1265
-4120.7079,-4408.1848,-3664.5166
-4473.2963,-3904.6364,-3812.1983
-5361.286,-4375.3518,-5053.6065
-5434.737,-3852.7207,-5346.3209
-5498.09,-3401.9406,-5573.6525
-5549.9657,-3032.8258,-5965.8459
-5583.0781,-2797.2188,-6501.5908
-5623.7325,-2507.9476,-6713.4718
-5649.8328,-2322.2347,-7054.3769
-5662.0464,-2235.3303,-7439.7372
-5661.4631,-2239.4809,-7827.8614
-5660.8998,-2243.4886,-8142.6322
-5666.7331,-2201.9823,-8383.7491
-5670.3125,-2176.5135,-8614.3202
-5670.6175,-2174.3437,-8835.9522
-5666.9335,-2200.5565,-9051.2563
-5662.0345,-2235.4149,-9254.3846
